255,avenue du general de larminat,sans
254,11 cours de l'argonne,sans
254,place jean jaurès,sans
253,rue neuve,sans
253,rue de tauzin,sans
253,rue porte-dijeaux,sans
252,rue nicot,sans
252,rue saint sernin,sans
251,rue fernand philippart,sans
251,avenue de nontraste,sans
251,allee serr,avec
250,place de lerme,sans
250,"cours du medoc, 133 cours journu auber",sans
250,rue wustenberg,sans
250,rue castelnau d'auros,sans
249,marché d'intérêt national brienne,sans
248,boulevard antoine gautier,sans
241,"niveau 19,50",sans
240,place tourny,sans
237,"allee stendhal, rue des chais",sans
237,angle cours charles bricaud et,sans
237,"b, rue poyenne",sans
237,allee serr,sans
236,boulevard albert 1er et rue louis cabié,sans
235,rue rode,sans
234,"rue de la rotonde, rue hortense",sans
234,route de toulouse angle bd albert 1er,sans
233,rue georges barres,sans
232,rue des etrangers- rue blanqui et voie nouvelle,sans
231,12 et 16 cours du maréchal juin,sans
231,avenue de la gare,sans
229,avenue thiers élémentaire,sans
228,cours du maréchal galliéni,sans
228,rue charlevoix de villers,sans
226,rue jean lalanne,sans
225,angle cours charles bricaud et rue germaine,sans
225,rue paul doumer/jerome mauvigney,sans
225,rue gambetta,sans
224,rue de la cour des aides,sans
224,rue des gants,sans
222,rue kleber-21 passage moreau,sans
221,rue carpenteyre,sans
221,place rohan,sans
221,centre commercial les passages,sans
220,avenue du maréchal de lattre de tassigny,sans
217,cours de québec,sans
216,cours du marechal foch,sans
215,rue dieu,sans
215,rue bouquière,sans
215,rue planterose,sans
212,avenue thiers,avec
212,rue noviciat,sans
211,rue de la rousselle,sans
210,rue duplessy,sans
208,rue de la béchade,avec
208,route de toulouse,sans
207,cours louis fargue,sans
205,"et 86, cours aristide briand",sans
204,rue de la rotonde,sans
204,rue de l'abbe de l'epee,sans
204,rue de sèze,sans
203,rue charles chaumet,sans
203,quai de brienne et bd jean-jacques bosc,sans
203,allée de tourny,sans
202,rue louis gendreau,sans
202,68 rue de lachassaigne,sans
201,rue jenny lepreux,sans
200,rue du docteur a schweitzer,sans
200,boulevard godard lot b,sans
200,cours du 30 juillet,sans
200,rue de moulis,avec
199,rue du maréchal joffre,sans
199,rue darbon,sans
199,rue luflade,sans
199,rue du general de larminat,sans
199,"cours le rouzic, 13 rue bonnefin",sans
199,6et8 rue rené cassin,sans
198,7  rue dubessan,sans
198,"15 place canteloup, 5 rue planterose",sans
198,"quai de brienne, rue de la louisiane, rue du jardin de l'ars",sans
198,cours evrard de fayolle,sans
197,rue du pont de la mousque,sans
197,rue du chai des farines,sans
197,cours du quebec /avenue laroque,sans
196,rue laplacette,sans
195,"et 37, rue des argentiers",sans
195,rue causserouge,sans
195,boulevard alfred brandenburg,sans
195,place meynard,sans
194,rue edmond costedoat,sans
193,rue  lucien faure,sans
192,rue pineau,sans
192,rue eugène jacquet,sans
192,rue yves glotin,sans
192,rue carle vernet - rue d'armagnac,sans
192,"rue de l ecole normale,  1 rue du grand lebrun",sans
191,et 6 avenue de la république,sans
190,rue amedee saint germain,sans
190,"rue cabanac, 4 rue bac-ninh",sans
190,rue maryse bastie,avec
190,rue d'armagnac ilot 8.2 d-e,sans
190,rue paul berthelot,sans
190,a 23 rue oscar et jean auriac,sans
190,rue de madrid,sans
190,hangar 18 - lot 10/12,sans
190,rue corps franc pommies,sans
189,rue jacques d'welles,sans
189,a 26 quai de bacalan,sans
188,allee de serr,sans
188,allees d'orleans / place des quinconces,sans
188,rue ulysse gayon,sans
187,rue de madagascar,sans
186,rue du parlement sainte catherine,avec
186,rue eugene jacquet,sans
185,impasse sainte elisabeth,sans
185,place de la ferme de richemond,sans
184,boulevard maréchal leclerc,sans
184,rue de merignac,sans
184,rue thiac,sans
182,rue giacomo matteoti,sans
182,rue turenne 143 rue du palais gallien,sans
180,rue auguste poirson - 61 rue de tivoli,sans
180,rue  marengo,sans
180,rue turenne et 60 rue dr albert barraud,sans
180,allees des peupliers,sans
180,21 rue du noviciat,sans
180,"rue de tivoli - 40 et 44, rue rivière - 3, rue de macau",sans
180,rue de suffren,sans
180,ilot 16 a   place ravezies,sans
180,cours arisitide briand,sans
180,avenue des quarantes journaux,sans
179,rue de talence,sans
179,rue jean jacques rousseau,sans
177,rue du cancera,sans
176,"rue pascal mothes, 151 cours de l'yser",sans
175,220 rue sainte catherine,sans
175,place simiot,sans
175,41 rue du petit goave,sans
174,rue tourat,sans
173,rue general de larminat ilot ornano,sans
172,rue pasteur,sans
171,bois de riviere  rue mandron,sans
171,place amedee larrieu,sans
171,rue du général de larminat,sans
171,rue ramonet,sans
170,rue marcel issartier,sans
170,rue pierre duhem et 28 rue walter poupot,sans
170,rue cornac,sans
170,quai de paludate & rue de la seigliere,sans
170,et 8 place rene maran,sans
170,angle des rues leon pailliere/ maraichers et carle vernet,sans
170,avenue marechal de tassigny,sans
169,rue emile henriot,avec
168,hangar 16 - lot 10,sans
168,44 rue de la porte dijeaux,sans
168,rue joséphine,sans
167,impasse saint catherine,sans
167,rue fondaudege,avec
167,"4 rue du fort louis, 6 place renaudel",sans
167,angle pl latule et boulevard alfred daney,sans
167,rue candale,sans
166,rue bouquiere,sans
166,cours de l'ntendance,sans
165,rue boudet,sans
165,rue buffon,sans
164,rue du fils,sans
164,place sainte catherine,sans
163,cours de l'intendance-1 rue sainte catherine,sans
162,rue grateloup,sans
162,rue porte de la monnaie,sans
160,résidence saint jean cours de la marne,avec
160,rue giaccomo matteoti,sans
160,rue fernand marin,sans
160,rue dr albert schweitzer,sans
159,rue des vignes,sans
159,hangar 18 - lot 13,sans
158,rue chanoine a. lacaze,sans
157,rue latour,sans
157,rue burthaud angle rue dunant,sans
157,boulevard president wilson,sans
156,a 70 rue du palais gallien,sans
156,rue de la fusterie,sans
155,rue rene buthaut,sans
155,270 rue sainte catherine,sans
153,bassin a flot n° 1 quai  armand lalande,sans
153,rue françois daunes,sans
153,rue de la motte piquet,sans
153,rue claude boucher,sans
153,rue de guienne,sans
152,rue labottiére,sans
152,zac de ravesie sud,sans
151,rue naujac,sans
151,rue du marais,sans
150,rue de hourtins,sans
150,rue francois coppee,sans
150,rue barillet deschamps,sans
150,avenue georges clemenceau,sans
150,rue raymond poincare et boulevard jules simon,sans
150,rue des retaillons,sans
150,rue traversanne,sans
150,"rue stehelin,rue domion",sans
150,"168 cours de l'argonne,17 rue g. rioux",sans
150,rue pascal mothes,sans
150,"quai des queyries, rue raymond lavigne",sans
150,place montaud,sans
149,place du colonel raynal,sans
149,avenue henry dunant,sans
149,hangar 17 - lots 10 et 11,sans
148,rue bonnefin,sans
147,rue du grand maurian,sans
147,rue du cerf volant,sans
147,"marché des capucins  halle b,angle jules",sans
147,rue peyronnet,sans
147,boulevard godard et rue du docteur finlay,sans
147,rue stéhélin,sans
147,rue bethmann et rue tauzin,sans
147,rue du port,sans
147,99 rue porte-dijeaux,sans
146,rue detrois,sans
146,rue barreyre,sans
146,et 3bis rue lucien faure,sans
145,rue edmond michelet,sans
145,rue dubourdieu,sans
145,"et 13, rue dumont d'urville",sans
144,anenuie marcel dassault,sans
143,"et 54, place des capucins",sans
142,rue d'ornano et passage hermitte,sans
142,bassin à flots n°1 - quai armand lalande,sans
141,rue du commandant arnould,sans
140,a 7 cours xavier arnozan,sans
140,"rue jean renaud dandicolle,place rodesse",avec
140,-8 rue charles domercq,avec
140,rue docteur albert schweitzer,sans
140,rue lombard,sans
140,"bd jules simon, 44 rue beaudrimont",sans
139,rue prémeynard,sans
139,"niveau 14,50",sans
138,rue teulere,sans
138,rue fieffé,sans
138,quai des marques hangar 16,sans
138,rue joseph pujol,sans
138,quai de brienne et rue de l'orénoque,sans
136,rue des generaux duche,sans
136,rasse du front du médoc,sans
135,cite lartigue,sans
135,rue mozart,sans
135,rue labottiere,avec
135,bd du president wilson,sans
134,hangar 15 - lot 5,sans
134,avenue de lattre de tassigny,sans
134,rue courpon,sans
134,rue boulan,sans
133,rue lafayette,sans
133,place du maucaillou,sans
132,cours georges clemenceau,avec
132,"rue leyteire, 32 rue du mirail",sans
131,rue gobineau,avec
131,rue des généraux duché,avec
131,passage de la jalle - mail des bordelais,sans
130,rue fieffe,sans
130,168 cours de l'argonne,sans
130,loge n° 163,sans
130,rue pierre trébod,sans
130,et 30  rue paul broca,sans
130,cours de la liberation,sans
129,18 rue porte dijeaux,sans
129,avenue d'arès,sans
129,passage  brian,sans
129,rue castelnau d'auros / 20 rue judaique,sans
129,galerie bordelaise,sans
128,rue jeanneney,sans
128,avenue d ares,sans
128,a 14 rue hanappier,sans
128,avenue emile counord,avec
127,rue canihac,sans
126,place lopez et rue bahr,sans
125,19 rue marguerite crauste,sans
125,hangar 19 - lot 3,sans
125,rue arnaud miqueu,sans
124,rue du temple,avec
124,rue du cloître,sans
124,rue jean fleuret et cours maréchal juin,sans
124,46 cours de l'intendance,sans
123,rue francois roganeau,sans
123,rue tiffonet,sans
122,rue roquelaure et joseph de carayon-latour,sans
122,rue oscar et jean auriac,sans
