avec_hebergement;nom_etablissement;propriete_ville;categorie;type;adresse_1;adresse_2;code_postal;commune;canton;effectif_personnel;nb_visiteurs_max;geometrie
0;AGENCE IMMOBILIERE;0;5.0;W;20 allée d'Orléans;;33000;BORDEAUX;;2;4;44.84391,-0.572214
0;8ÈME FORUM HANDI CAP NOUVELLE AQUITAINE;0;1.0;T;quai des Chartrons;;33300;BORDEAUX;;110;5619;44.856355,-0.568436
0;AGENCE IMMOBILIERE;0;5.0;W;61 ALLEE DES PEUPLIERS;;33000;BORDEAUX;09 St Augustin Quintin Loucheur Tondu;2;5;44.829316,-0.609924
0;9EMES FINALES INTERNATIONALES ABILYMPICS;0;1.0;T;rue Jean Samazeuilh;BP 55;33030;BORDEAUX;;0;0;
0;AGENCE IMMOBILIERE - STEPHANE PLAZA IMMOBILIER;0;5.0;W;18 COURS DU CHAPEAU ROUGE;;33000;BORDEAUX;05 Hotel de Ville et Quinconces;7;8;44.842223,-0.571821
0;A.D'APPRO CENTRE D'EDUCATION SPECIALISEE;0;5.0;R;247 RUE LECOCQ;;33000;BORDEAUX;10 St Bruno St Victor Mériadeck;9;28;44.831194,-0.594218
0;AGENCE IMMOBILIERE ERA;0;5.0;W;210 -212 cours de la Marne;;33000;BORDEAUX;;0;0;44.824154,-0.57898
0;ABEC IMMOBILIER;0;5.0;M;178, boulevard du Président Wilson;;33000;BORDEAUX;;0;0;
0;AGENCE IMMOBILIERE EX-LE BARAGOUINAGE EX-RESTAURANT SNACK BLACK WHITE;0;5.0;W;68 RUE DE LA BENAUGE;;33100;BORDEAUX;04 la Bastide;0;15;44.840397,-0.555477
0;ABRI PARC BORDELAIS;0;;;rue du Bocage;;33000;BORDEAUX;;0;0;44.852604,-0.57636
0;AGENCE LANDES MUTUALITÉ;0;5.0;W;65 Avenue Thiers;;33100;BORDEAUX;04 la Bastide;25;15;44.842462,-0.555866
0;ACQUA E FARINA;0;5.0;N;54 rue du Palais Gallien;;33000;BORDEAUX;;2;16;44.843473,-0.581489
0;AGENCE LOCALE ANPE SAGET;0;5.0;W;59, 61 RUE DE SAGET;;33800;BORDEAUX;13 St Jean Belcier Carle Vernet Albert 1er Sacré C;6;50;44.828225,-0.557508
0;AD'AP COMPLETS TRANSMIS DDTM;0;;;;;33000;BORDEAUX;;0;0;44.862132,-0.587876
0;AGENCE LOCALE DE L'ANPE FURTADO;0;5.0;M;16-18 RUE FURTADO,;;33800;BORDEAUX;13 St Jean Belcier Carle Vernet Albert 1er Sacré C;31;71;44.825182,-0.561955
0;AD'AP INCOMPLETS  TRANSMIS DDTM;0;;;;;33000;BORDEAUX;;0;0;44.862132,-0.587876
0;AGENCE MAAF ASSURANCE DE BORDEAUX CENTRE;0;5.0;W;47 COURS GEORGES CLEMENCEAU;;33000;BORDEAUX;05 Hotel de Ville et Quinconces;6;13;44.84394,-0.578882
0;AD'AP INCOMPLETS TRANSMIS DDTM;0;;;;;33000;BORDEAUX;;0;0;44.862132,-0.587876
0;AGENCE MATMUT GALLIENI;0;5.0;W;17 Cours du Maréchal Gallieni;;33000;BORDEAUX;09 St Augustin Quintin Loucheur Tondu;8;19;44.824997,-0.590119
0;ADAGIO ACCESS BORDEAUX RODESSE;0;5.0;N;1 bis rue Jean Renaud Dandicolle;;33000;BORDEAUX;10 St Bruno St Victor Mériadeck;0;37;44.833112,-0.585615
0;AGENCE NATIONALE POUR L'EMPLOI;0;5.0;W;12 BOULEVARD ANTOINE GAUTIER;;33000;BORDEAUX;10 St Bruno St Victor Mériadeck;264;88;44.832927,-0.598219
0;ADEBAF;0;5.0;L;BASSIN A FLOTS N°2 QUAI OUEST;;33000;BORDEAUX;;0;88;
0;AGENCE NOTARIALE GILLAIN;0;5.0;W;5 place Jean Jaurès;;33000;BORDEAUX;;0;19;44.843077,-0.571095
0;ADECCO PME BTP;0;5.0;W;12 rue Jeanneney;;33000;BORDEAUX;;0;0;44.845841,-0.58106
N;AGENCE NOUVELLES FRONTIERES;N;5.0;W;128, COURS ALSACE ET LORRAINE;;33000;BORDEAUX;05 Hotel de Ville et Quinconces;0;19;44.837365,-0.575672
0;ADHAP SERVICES;0;5.0;W;3 PLACE DES MATYRS DE LA RESISTANCE;;33000;BORDEAUX;;0;0;44.841619,-0.583707
0;AGENCE ORPI;0;5.0;W;81 rue Fondaudège;;33000;BORDEAUX;;0;0;44.847456,-0.581087
0;ADOPT'  (EX MAGASIN L M V);0;5.0;M;7 RUE STE CATHERINE;;;BORDEAUX;05 Hotel de Ville et Quinconces;0;76;44.841662,-0.574529
0;AGENCE PICHET IMMOBILIER;0;5.0;W;10 bis allée de Serr;;33000;BORDEAUX;;0;0;44.823259,-0.608709
0;AESTHEMEDICA;0;5.0;W;59 avenue Carnot;;33200;BORDEAUX;;0;0;44.852307,-0.59871
0;AGENCES BNP ET GMF;0;5.0;W;39 - 41 COURS D ALBRET;;33000;BORDEAUX;10 St Bruno St Victor Mériadeck;0;0;44.83705,-0.581224
0;AFEC;0;5.0;R;211 boulevard Jean Jacqus Bosc;;33800;BORDEAUX;;5;45;44.817065,-0.548823
0;AGORA;0;1.0;T;quai des Chartrons;;33300;BORDEAUX;;110;5619;44.856355,-0.568436
0;AFEC BORDEAUX SABLIERES;0;5.0;R;84 rue des sablières;;33000;BORDEAUX;;0;80;44.858415,-0.589468
